#acachar=categories: V;model:amar;fonts: LT;
#advocar=categories: V;model:abarcar;fonts: ap;
#amarizar=categories: V;model:abalanzar;fonts: dr;
#arcar=categories: V;model:abarcar;fonts: ap;
#arromper=categories: V;model:romper;fonts: LT;
#asosegar=categories: V;model:negar;fonts: LT;
#autoeducar=categories: V;model:abarcar;fonts: LT; NOU
#autoexaminar=categories: V;model:amar;fonts: LT;
#autogenerar=categories: V;model:amar;fonts: LT; NOU
#autopublicar=categories: V;model:abarcar;fonts: LT; NOU
#autopublicitar=categories: V;model:amar;fonts: LT; NOU
#ciar=categories: V;model:piar;fonts: LT;
#colidir=categories: V;model:partir;fonts: ap;
#desnegar=categories: V;model:negar;fonts: ap;
#desparasitar=categories: V;model:amar;fonts: LT; NOU
#dolar=categories: V;model:volar;fonts: LT; 
#enfatuar=categories: V;model:enfatuar;fonts: ??;
#espectacularizar=categories: V;model:abalanzar;fonts: fundeu; NOU
#extruir=categories: V;model:construir;fonts: ap;
#fruir=categories: V;model:fluir;fonts: LT;
#garuar=categories: V;model:actuar;fonts: LT; defectiu!!
#grafiar=categories: V;model:enviar;fonts: ap;
#gruir=categories: V;model:fluir;fonts: LT;
#implotar=categories: V;model:amar;fonts: ap;
#litar=categories: V;model:amar;fonts: LT; #eliminar
#luir=categories: V;model:fluir;fonts: LT;
#malcreer=categories: V;model:leer;fonts: ap;
#mayorar=categories: V;model:amar;fonts: ap;
#miar=categories: V;model:piar;fonts: LT;
#microencapsular=categories: V;model:amar;fonts: LT; NOU
#parasitar=categories: V;model:amar;fonts: LT; NOU
#pasturar=categories: V;model:amar;fonts: ap;
#pañear=categories: V;model:amar;fonts: ap;
#pegilar=categories: V;model:amar;fonts: ap;
#preincubar=categories: V;model:amar;fonts: LT; NOU
#raizar=categories: V;model:abalanzar;fonts: dr;
#remugar=categories: V;model:cargar;fonts: ap;
#retroferbular=categories: V;model:amar;fonts: ap;
#retroiluminar=categories: V;model:amar;fonts: LT; NOU
#trasportar=categories: V;model:amar;fonts: ap;
#triar=categories: V;model:piar;fonts: LT;
abajar=categories: V;model:amar;fonts: LT;
abalanzar=categories: V;model:abalanzar;fonts: LT;
abalaustrar=categories: V;model:amar;fonts: LT;
abalear=categories: V;model:amar;fonts: LT;
abalizar=categories: V;model:abalanzar;fonts: LT;
aballar=categories: V;model:amar;fonts: LT;
aballestar=categories: V;model:amar;fonts: LT;
abaluartar=categories: V;model:amar;fonts: LT;
abanar=categories: V;model:amar;fonts: LT;
abancalar=categories: V;model:amar;fonts: ap;
abandalizar=categories: V;model:abalanzar;fonts: LT;
abanderar=categories: V;model:amar;fonts: LT;
abanderizar=categories: V;model:abalanzar;fonts: LT;
abandonar=categories: V;model:amar;fonts: LT;
abanicar=categories: V;model:abarcar;fonts: LT;
abar=categories: V;model:amar;fonts: LT;
abaratar=categories: V;model:amar;fonts: LT;
abarbechar=categories: V;model:amar;fonts: LT;
abarbetar=categories: V;model:amar;fonts: LT;
abarcar=categories: V;model:abarcar;fonts: LT;
abarloar=categories: V;model:amar;fonts: LT;
abarquillar=categories: V;model:amar;fonts: LT;
abarracar=categories: V;model:abarcar;fonts: LT;
abarraganar=categories: V;model:amar;fonts: LT;
abarrajar=categories: V;model:amar;fonts: LT;
abarrancar=categories: V;model:abarcar;fonts: LT;
abarrotar=categories: V;model:amar;fonts: LT;
abastar=categories: V;model:amar;fonts: LT;
abastecer=categories: V;model:agradecer;fonts: LT;
abastionar=categories: V;model:amar;fonts: LT;
abatanar=categories: V;model:amar;fonts: LT;
abatatar=categories: V;model:amar;fonts: LT;
abatir=categories: V;model:partir;fonts: LT;
abatojar=categories: V;model:amar;fonts: LT;
abañar=categories: V;model:amar;fonts: LT;
abdicar=categories: V;model:abarcar;fonts: LT;
abducir=categories: V;model:conducir;fonts: ap;
abellacar=categories: V;model:abarcar;fonts: LT;
abemolar=categories: V;model:amar;fonts: LT;
aberrar=categories: V;model:cerrar;fonts: LT;
abetunar=categories: V;model:amar;fonts: LT;
abigarrar=categories: V;model:amar;fonts: LT;
abismar=categories: V;model:amar;fonts: LT;
abitar=categories: V;model:amar;fonts: LT;
abjurar=categories: V;model:amar;fonts: LT;
ablandar=categories: V;model:amar;fonts: LT;
ablandecer=categories: V;model:agradecer;fonts: LT;
abnegar=categories: V;model:cargar;fonts: ap;
abobar=categories: V;model:amar;fonts: LT;
abocadear=categories: V;model:amar;fonts: LT;
abocar=categories: V;model:abarcar;fonts: LT;
abocardar=categories: V;model:amar;fonts: LT;
abocetar=categories: V;model:amar;fonts: LT;
abochornar=categories: V;model:amar;fonts: LT;
abocinar=categories: V;model:amar;fonts: LT;
abofetear=categories: V;model:amar;fonts: LT;
abogar=categories: V;model:cargar;fonts: LT;
abolir=categories: V;model:partir;fonts: LT;
abollar=categories: V;model:amar;fonts: LT;
abollonar=categories: V;model:amar;fonts: LT;
abolsar=categories: V;model:amar;fonts: LT;
abombar=categories: V;model:amar;fonts: LT;
abominar=categories: V;model:amar;fonts: LT;
abonanzar=categories: V;model:abalanzar;fonts: LT;
abonar=categories: V;model:amar;fonts: LT;
